No,Chinese,Pinyin,English
1,您,nín,you
2,它,tā,it
3,大家,dàjiā,everyone
4,每,měi,"every, each"
5,为什么,wèishénme,why
6,零,líng,zero
7,两,liǎng,two
8,百,bǎi,hundred
9,千,qiān,thousand
10,第一,dìyī,first
11,次,cì,times
12,件,jiàn,piece
13,别,bié,do not
14,非常,fēicháng,very
15,也,yě,also
16,还,hái,still
17,最,zuì,the most
18,真,zhēn,really
19,正在,zhèngzài,be being
20,已经,yǐjīng,already
21,一起,yìqǐ,together
22,再,zài,again
23,就,jiǜ,at once
24,因为……所以……,yīnwèi…suǒyǐ…,because…so…
25,虽然……但是……,suīrán…dànshì…,although… but…
26,从,cóng,from
27,比,bǐ,comparing to
28,往,wǎng,"toward, to"
29,离,lí,indicate the distance between two objects
30,得,de,
31,着,zhe,
32,过,guò,
33,吧,ba,
34,机场,jīchǎng,airport
35,教室,jiàoshì,classroom
36,房间,fángjiān,room
37,路,lù,road
38,左边,zuǒbiān,left
39,右边,yòubiān,right
40,外,wài,outside
41,旁边,pángbiān,side
42,一下,yīxià,in a short while
43,早上,zǎoshàng,morning
44,晚上,wǎnshàng,night
45,小时,xiǎoshí,hour
46,时间,shíjiān,time
47,去年,qùnián,last year
48,日,rì,date
49,生日,shēngrì,birthday
50,哥哥,gēge,older brother
51,姐姐,jiějie,older sister
52,弟弟,dìdi,younger brother
53,妹妹,mèimei,younger sister
54,丈夫,zhàngfu,husband
55,妻子,qīzi,wife
56,孩子,háizi,child
57,男人,nánrén,man
58,女人,nǚrén,woman
59,服务员,fúwùyuán,waiter
60,鱼,yú,fish
61,羊肉,yángròu,mutton
62,牛奶,niúnǎi,milk
63,鸡蛋,jīdàn,egg
64,西瓜,xīguā,watermelon
65,咖啡,kāfēi,coffee
66,雪,xuě,snow
67,药,yào,medicine
68,手机,shǒujī,cellphone
69,手表,shǒubiǎo,watch
70,眼睛,yǎnjīng,eye
71,身体,shēntǐ,body
72,公共汽车,gōnggòngqìchē,bus
73,报纸,bàozhǐ,newspaper
74,门,mén,door
75,题,tí,"topic, item"
76,课,kè,lesson
77,姓,xìng,surname
78,问题,wèntí,question
79,事情,shìqing,matter
80,考试,kǎoshì,exam
81,票,piào,ticket
82,意思,yìsi,meaning
83,颜色,yánsè,color
84,铅笔,qiánbǐ,pencil
85,面条,miàntiáo,noodle
86,火车站,huǒchēzhàn,train station
87,公司,gōngsī,company
88,宾馆,bīngguǎn,hotel
89,说话,shuōhuà,talk
90,卖,mài,sell
91,问,wèn,ask
92,走,zǒu,walk
93,进,jìn,enter
94,出,chū,come
95,跑步,pǎobù,run
96,到,dào,arrive
97,穿,chuān,wear
98,洗,xǐ,wash
99,给,gěi,give
100,找,zhǎo,find
101,懂,dǒng,understand
102,笑,xiào,smile
103,告诉,gàosù,tell
104,准备,zhǔnbèi,prepare
105,开始,kāishǐ,begin
106,介绍,jièshào,introduce
107,帮助,bāngzhù,help
108,玩,wán,play
109,送,sòng,present
110,等,děng,wait
111,让,ràng,let
112,起床,qǐchuáng,get up
113,唱歌,chànggē,sing
114,跳舞,tiàowǔ,dance
115,旅游,lǚyóu,travel
116,上班,shàngbān,be on duty
117,生病,shēngbìng,"get ill, get sick"
118,休息,xiūxi,rest
119,运动,yùndòng,exercise
120,游泳,yóuyǒng,swim
121,踢足球,tīzúqiú,play footbal
122,打篮球,dǎlánqiú,play basketball
123,完,wán,finish
124,觉得,juédé,think
125,知道,zhīdao,know
126,希望,xīwàng,hope
127,可以,kěyǐ,can
128,要,yào,want
129,可能,kěnéng,may
130,高,gāo,tall
131,红,hóng,red
132,白,bái,white
133,黑,hēi,black
134,忙,máng,busy
135,快,kuài,fast
136,慢,màn,slow
137,远,yuǎn,far
138,近,jìn,close
139,好吃,hǎochī,delicious
140,累,lèi,tired
141,长,cháng,long
142,新,xīn,new
143,贵,guì,expensive
144,便宜,piányi,cheap
145,晴,qíng,fine
146,阴,yīn,cloudy
147,错,cuò,wrong
148,快乐,kuàilè,happy
149,对,duì,to
150,对,duì,right
