No,Chinese,Pinyin,English
1,爱情,àiqíng,Love
2,安排,ānpái,arrange
3,安全,ānquán,security
4,按时,ànshí,on time
5,按照,ànzhào,according to
6,百分之,bǎifēnzhī,percent
7,棒,bàng,stick；excellent
8,包子,bāozi,Steamed stuffed bun
9,保护,bǎohù,protect
10,保证,bǎozhèng,ensure
11,抱,bào,Hold
12,抱歉,bàoqiàn,feel sorry
13,报名,bàomíng,sign up
14,倍,bèi,times
15,本来,běnlái,originally
16,笨,bèn,stupid
17,比如,bǐrú,such as
18,毕业,bìyè,graduation
19,遍,biàn,Times
20,标准,biāozhǔn,standard
21,表格,biǎogé,form
22,表示,biǎoshì,Express
23,表演,biǎoyǎn,perform
24,表扬,biǎoyáng,Praise
25,饼干,bǐnggān,Biscuits
26,并且,bìngqiě,also
27,博士,bóshì,doctor
28,不过,búguò,However
29,不得不,bùdébù,have to
30,不管,bùguǎn,no matter
31,不仅,bùjǐn,not only
32,部分,bùfen,Part
33,擦,cā,wipe
34,猜,cāi,guess
35,材料,cáiliào,Material Science
36,参观,cānguān,visit
37,餐厅,cāntīng,Restaurant
38,差不多,chàbuduō,Almost
39,尝,cháng,taste
40,长城,chángchéng,The Great Wall
41,长江,chángjiāng,The Yangtze River
42,场,chǎng,site
43,超过,chāoguò,Exceed
44,厕所,cèsuǒ,Toilet
45,成功,chénggōng,Success
46,成为,chéngwéi,Become
47,诚实,chéngshí,honest
48,乘坐,chéngzuò,ride
49,吃惊,chījīng,Be amazed
50,重新,chóngxīn,again
51,抽烟,chōuyān,smoking
52,出差,chūchāi,A business travel
53,出发,chūfā,Set out
54,出生,chūshēng,Birth
55,出现,chūxiàn,Appear
56,厨房,chúfáng,Kitchen
57,传真,chuánzhēn,Fax
58,窗户,chuānghu,Window
59,词语,cíyǔ,"terms, words"
60,从来,cónglái,Always
61,粗心,cūxīn,careless
62,存,cún,Deposit
63,错误,cuòwù,error
64,答案,dá’àn,Answer
65,打招呼,dǎzhāohu,Say hello
66,打扮,dǎban,dress up
67,打扰,dǎrǎo,Disturb
68,打印,dǎyìn,Print
69,打折,dǎzhé,Discount
70,打针,dǎzhēn,To make an injection
71,大概,dàgài,Probably
72,大使馆,dàshǐguǎn,Embassy
73,大约,dàyuē,about
74,戴,dài,wear
75,大夫,dàifu,Doctor
76,当,dāng,When
77,当时,dāngshí,at that time
78,刀,dāo,knife
79,导游,dǎoyóu,Guide
80,倒,dào,inverted
81,到处,dàochù,everywhere
82,到底,dàodǐ,To the end
83,道歉,dàoqiàn,apologize
84,得意,déyì,Proud
85,地点,dìdiǎn,location
86,得（助动词）,děi,have to
87,登机牌,dēngjīpái,Boarding pass
88,等 （动）,děng,Wait (verb)
89,低,dī,low
90,底,dǐ,bottom
91,地球,dìqiú,earth
92,地址,dìzhǐ,address
93,掉,diào,fall
94,调查,diàochá,investigation
95,丢,diū,lose
96,动作,dòngzuò,action
97,堵车,dǔchē,Traffic jam
98,肚子,dùzi,belly
99,短信,duǎnxìn,Short message
100,对于,duìyú,about
101,对话,duìhuà,dialogue
102,对面,duìmiàn,Opposite side
103,而,ér,and
104,儿童,értóng,children
105,发生,fāshēng,Happen
106,发展,fāzhǎn,Development
107,法律,fǎlǜ,Law
108,翻译,fānyì,translate
109,烦恼,fánnǎo,annoyance
110,反对,fǎnduì,Opposition
111,方法,fāngfǎ,Method
112,方面,fāngmiàn,Aspect
113,方向,fāngxiàng,direction
114,房东,fángdōng,landlord
115,放弃,fàngqì,give up
116,放暑假,fàngshǔjià,summer vacation
117,放松,fàngsōng,Relax
118,份,fèn,share (measure word)
119,丰富,fēngfù,rich
120,否则,fǒuzé,otherwise
121,符合,fúhé,accord with
122,富,fù,rich
123,付款,fùkuǎn,pay
124,父亲,fùqīn,father
125,复印,fùyìn,To copy
126,复杂,fùzá,complex
127,负责,fùzé,Be responsible for
128,改变,gǎibiàn,change
129,干杯,gānbēi,Cheers!
130,赶,gǎn,catch up with
131,敢,gǎn,dare
132,感动,gǎndòng,Be moved
