No,Chinese,Pinyin,English
1,阿姨,āyí,aunt
2,啊,a,ah
3,矮,ǎi,short
4,爱好,àihào,hobby
5,安静,ānjìng,Be quiet
6,把,bǎ,hold
7,班,bān,class
8,搬,bān,move
9,半,bàn,half
10,办法,bànfǎ,Way
11,办公室,bàngōngshì,Office
12,帮忙,bāngmáng,Help
13,包,bāo,package
14,饱,bǎo,full
15,北方,běifāng,north
16,被,bèi,cover
17,鼻子,bízi,nose
18,比较,bǐjiào,compare
19,比赛,bǐsài,Match
20,笔记本,bǐjìběn,notebook
21,必须,bìxū,Must
22,变化,biànhuà,change
23,别人,biéren,Others
24,冰箱,bīngxiāng,Refrigerator
25,菜单,càidān,menu
26,参加,cānjiā,participate in
27,草,cǎo,grass
28,层,céng,layer
29,差,chà,bad
30,超市,chāoshì,Supermarket
31,衬衫,chènshān,shirt
32,成绩,chéngjì,achievement
33,城市,chéngshì,City
34,迟到,chídào,Late
35,除了,chúle,"except, besides"
36,船,chuán,ship
37,春,chūn,spring
38,词典,cídiǎn,Dictionaries
39,聪明,cōngming,clever
40,打扫,dǎsǎo,Clean
41,打算,dǎsuàn,Plan
42,带,dài,belt
43,担心,dānxīn,Worry
44,蛋糕,dàngāo,Cake
45,当然,dāngrán,Of course
46,地,de,
47,灯,dēng,lamp
48,地方,dìfang,local
49,地铁,dìtiě,metro
50,地图,dìtú,Map
51,电梯,diàntī,Elevator.
52,电子邮件,diànzǐyóujiàn,E-mail
53,东,dōng,east
54,冬,dōng,winter
55,动物,dòngwù,Animal
56,短,duǎn,short
57,段,duàn,paragraph
58,锻炼,duànliàn,Physical exercise
59,多么,duōme,such
60,饿,è,hungry
61,不但……而且……,búdàn…érqiě…,not only…but also…
62,耳朵,ěrduo,Ears
63,发,fā,send out
64,发烧,fāshāo,Have a fever
65,发现,fāxiàn,"find, discover"
66,方便,fāngbiàn,convenient
67,放,fàng,discharge
68,放心,fàngxīn,Don’t worry
69,分,fēn,minute
70,附近,fùjìn,nearby
71,复习,fùxí,Review
72,干净,gānjìng,clean
73,感兴趣,gǎnxìngqù,be intretested in
74,感冒,gǎnmào,get a cold
75,刚才,gāngcái,just
76,个子,gèzi,height
77,跟,gēn,with
78,根据,gēnjù,according to
79,更,gèng,more
80,公斤,gōngjīn,Kg.
81,公园,gōngyuán,Park
82,故事,gùshi,Story
83,刮风,guāfēng,Windy
84,关,guān,shut
85,关系,guānxì,relationship
86,关心,guānxīn,Care for
87,关于,guānyú,about
88,国家,guójiā,Country
89,过去,guòqù,Past times
90,过（动词）,guò,pass
91,还是,háishì,still
92,害怕,hàipà,Fear
93,黑板,hēibǎn,blackboard
94,后来,hòulái,later
95,护照,hùzhào,passport
96,花（动词）,huā,spend
97,花（名词）,huā,flower
98,画,huà,painting
99,坏,huài,bad
100,欢迎,huānyíng,Welcome
101,还（动词）,huán,Return
102,环境,huánjìng,Environment
103,换,huàn,change
104,黄河,huánghé,Yellow River
105,回答,huídá,Answer
106,会议,huìyì,Meeting
107,或者,huòzhě,perhaps
108,几乎,jīhū,almost
109,机会,jīhuì,Opportunity
110,极,jí,extremely
111,记得,jìde,remember
112,季节,jìjié,Season
113,检查,jiǎnchá,inspect
114,简单,jiǎndān,simple
115,健康,jiànkāng,Healthy
116,见面,jiànmiàn,meet
117,讲,jiǎng,speak
118,教,jiāo,teach
119,角,jiǎo,horn
120,脚,jiǎo,foot
121,接,jiē,"pick,get"
122,街道,jiēdào,Street
123,结婚,jiéhūn,marry
124,结束,jiéshù,End
125,节目,jiémù,program
126,节日,jiérì,festival
127,解决,jiějué,Solve
128,借,jiè,borrow
129,经常,jīngcháng,Often
130,经过,jīngguò,"After, through"
131,经理,jīnglǐ,manager
132,久,jiǔ,long
133,旧,jiù,"old,used"
134,句子,jùzi,sentence
135,决定,juédìng,Decision
136,渴,kě,thirsty
137,可爱,kě’ài,Lovely
138,刻,kè,moment
139,客人,kèrén,Guest
140,空调,kōngtiáo,Air conditioner
141,口,kǒu,mouth
142,哭,kū,cry
143,裤子,kùzi,trousers
144,筷子,kuàizi,chopsticks
145,蓝,lán,blue
146,老,lǎo,old
147,离开,líkāi,leave
148,礼物,lǐwù,gift
149,历史,lìshǐ,History
150,脸,liǎn,face
151,聊天,liáotiān,chat
152,练习,liànxí,Practice
153,辆,liàng,Car
154,了解,liǎojiě,understand
155,邻居,línjū,neighbor
156,留学,liúxué,Overseas Study
157,楼,lóu,floor
158,绿,lǜ,green
159,马,mǎ,Horse
160,马上,mǎshàng,Right off
161,满意,mǎnyì,Satisfied
162,帽子,màozi,Hat
163,米,mǐ,rice
164,面包,miànbāo,Bread
165,明白,míngbai,clear
166,拿,ná,take
167,奶奶,nǎinai,grandma
168,南,nán,south
169,难,nán,difficult
170,难过,nánguò,sad
171,年级,niánjí,grade
172,年轻,niánqīng,Young
173,鸟,niǎo,bird
174,努力,nǔlì,Strive
175,爬山,páshān,Mountain climbing
176,盘子,pánzi,plate
177,胖,pàng,fat
178,啤酒,píjiǔ,Beer
179,皮鞋,píxié,leather shoes
180,瓶子,píngzi,bottle
181,其实,qíshí,actually
182,其他,qítā,Other
183,骑,qí,ride
184,奇怪,qíguài,strange
185,起来,qǐlái,get up
186,起飞,qǐfēi,take off
187,清楚,qīngchu,clear
188,请假,qǐngjià,ask for leave
189,秋,qiū,autumn
190,裙子,qúnzi,skirt
191,然后,ránhòu,Then
192,热情,rèqíng,Enthusiasm
193,认为,rènwéi,think
194,认真,rènzhēn,earnest
195,容易,róngyì,easily
196,如果,rúguǒ,If
197,伞,sǎn,umbrella
198,上网,shàngwǎng,Surf the Internet
199,生气,shēngqì,get angry
200,声音,shēngyīn,voice
201,试,shì,try
202,世界,shìjiè,world
