No,Chinese,Pinyin,English
1,挨,ái,Next to
2,癌症,áizhèng,cancer
3,爱不释手,àibúshìshǒu,So much that one cannot bear to part with it
4,爱戴,àidài,love and esteem
5,暧昧,àimèi,ambiguous
6,安宁,ānníng,peaceful; calm
7,安详,ānxiáng,serene; composed
8,安置,ānzhì,put; arrange for
9,暗示,ànshì,suggest secretly
10,案件,ànjiàn,law case; case
11,案例,ànlì,case
12,按摩,ànmó,massage
13,昂贵,ángguì,expensive
14,凹凸,āotū,concave-convex
15,熬,áo,Boil
16,奥秘,àomì,secret
17,扒,bā,hold on to; dig up; push aside;
18,疤,bā,scar
19,巴不得,bābude,eagerly look forward to
20,巴结,bājié,stutter
21,拔苗助长,bámiáozhùzhǎng,Spoil things by excessive enthusiasm
22,把关,bǎguān,hold the pass
23,把手,bǎshou,knob
24,霸道,bàdào,overbearing
25,罢工,bàgōng,Strike
26,掰,bāi,break off with fingers and thumb
27,摆脱,bǎituō,cast off
28,拜访,bàifǎng,visit
29,拜年,bàinián,congratulate the New Year
30,拜托,bàituō,request
31,败坏,bàihuài,Corrupt
32,斑,bān,speckle
33,颁布,bānbù,promulgate; issue
34,颁发,bānfā,award; issue
35,版本,bǎnběn,Edition
36,半途而废,bàntú’érfèi,Give up halfway
37,伴侣,bànlǚ,partner; mate
38,伴随,bànsuí,go with
39,扮演,bànyǎn,Play the role
40,绑架,bǎngjià,Kidnap
41,榜样,bǎngyàng,example
42,磅,bàng,pound
43,包庇,bāobì,Shield
44,包袱,bāofu,Burden
45,包围,bāowéi,Surround
46,包装,bāozhuāng,pack; put up; make up
47,饱和,bǎohé,saturated
48,饱经沧桑,bǎojīngcāngsāng,Have seen much of the changes in human life
49,保管,bǎoguǎn,Safekeeping
50,保密,bǎomì,secrecy
51,保姆,bǎomǔ,nurse; mammy
52,保守,bǎoshǒu,Conservative
53,保卫,bǎowèi,Defend
54,保养,bǎoyǎng,maintain
55,保障,bǎozhàng,guarantee
56,保重,bǎozhòng,take care of oneself
57,抱负,bàofù,ambition
58,报仇,bàochóu,revenge
59,报酬,bàochou,remuneration
60,报答,bàodá,reciprocate; pay back; repay
61,报复,bàofù,Payback
62,报警,bàojǐng,call the police
63,报销,bàoxiāo,submit and expense account
64,爆发,bàofā,burst
65,爆炸,bàozhà,blast
66,曝光,bàoguāng,exposure
67,暴力,bàolì,violence
68,暴露,bàolù,Expose
69,悲哀,bēi’āi,Grief
70,悲惨,bēicǎn,miserable
71,卑鄙,bēibǐ,despicable
72,北极,běijí,arctic
73,被动,bèidòng,passive
74,被告,bèigào,Defendant
75,背叛,bèipàn,sellout; betray
76,背诵,bèisòng,recite
77,备份,bèifèn,backups
78,备忘录,bèiwànglù,Memorandum
79,贝壳,bèikè,shell; conch
80,奔波,bēnbō,rush about
81,奔驰,bēnchí,run quickly
82,本能,běnnéng,instinct
83,本钱,běnqián,Capital
84,本人,běnrén,oneself
85,本身,běnshēn,itself
86,本事,běnshi,Skill
87,笨拙,bènzhuō,clumsy
88,崩溃,bēngkuì,collapse breakdown
89,甭,béng,Not
90,蹦,bèng,Jump
91,迸发,bèngfā,Burst
92,逼迫,bīpò,force; compel
93,鼻涕,bítì,nasal mucus
94,比方,bǐfāng,Example
95,比喻,bǐyù,comparison; trope
96,比重,bǐzhòng,specific gravity; proportion
97,鄙视,bǐshì,despise
98,臂,bì,arm
99,弊病,bìbìng,ills
100,弊端,bìduān,malpractice
101,闭塞,bìsè,Occlusion
102,鞭策,biāncè,urge on
103,编织,biānzhī,Weave
104,边疆,biānjiāng,frontier
105,边界,biānjiè,boundary
106,边境,biānjìng,border; frontier
107,边缘,biānyuán,edge
108,扁,biǎn,flat
109,贬低,biǎndī,depreciate
110,贬义,biǎnyì,derogatory sense
111,遍布,biànbù,All over
112,便利,biànlì,facilitate
113,便条,biàntiáo,Note
114,便于,biànyú,Easy to
115,变故,biàngù,Misfortune
116,变迁,biànqiān,Changes
117,变质,biànzhì,deteriorate
118,辩护,biànhù,Defend
119,辩解,biànjiě,Explain
120,辩证,biànzhèng,dialectical
121,辨认,biànrèn,distinguish
122,辫子,biànzi,queue; plait
123,标本,biāoběn,specimen; demo
124,标记,biāojì,sign
125,标题,biāotí,title; heading
126,表决,biǎojué,Vote
127,表态,biǎotài,clarify one’s position
128,表彰,biǎozhāng,commend; cite
129,憋,biē,hold back
130,别墅,biéshù,Villa
131,别致,biézhì,Unique
132,别扭,bièniu,unnatural; awkward
133,濒临,bīnlín,On the verge of
134,冰雹,bīngbáo,hail
135,丙,bǐng,
136,并非,bìngfēi,not so
137,并列,bìngliè,Parallel
138,拨,bō,dial
139,播种,bōzhòng,Sow
140,波浪,bōlàng,wave
141,波涛,bōtāo,waves
142,剥削,bōxuē,exploitation
143,博大精深,bódàjīngshēn,Broad and profound
144,博览会,bólǎnhuì,exposition
145,搏斗,bódòu,struggle; fight
146,伯母,bómǔ,Aunt
147,薄弱,bóruò,weak
148,不顾,búgù,disregard
149,不愧,búkuì,Worthy
150,不料,búliào,Unexpectedly
151,不像话,búxiànghuà,unreasonable
152,不屑一顾,búxièyígù,A contemptuous disregard
153,补偿,bǔcháng,compensate
154,补救,bǔjiù,remedy
155,补贴,bǔtiē,subsidy
156,哺乳,bǔrǔ,lactation
157,捕捉,bǔzhuō,Catch
158,不得已,bùdéyǐ,have no alternative but to
159,不妨,bùfáng,might as well
160,不敢当,bùgǎndāng,I really don’t deserve this.
161,不禁,bùjīn,Can not help but
162,不堪,bùkān,can’t bear
163,不可思议,bùkěsīyì,It is beyond logic and above reason
164,不免,bùmiǎn,unavoidable
165,不时,bùshí,now and then
166,不惜,bùxī,not spare; not hesitate
167,不相上下,bùxiāngshàngxià,about the same; equally matched
168,不言而喻,bùyán’éryù,Self-evident
169,不由得,bùyóude,Cannot help
170,不择手段,bùzéshǒuduàn,Use unscrupulous divisive tactics
171,不止,bùzhǐ,more than
172,布告,bùgào,Notice
173,布局,bùjú,distribution; layout
174,布置,bùzhì,Arrangement
175,步伐,bùfá,pace
176,部署,bùshǔ,deploy
177,部位,bùwèi,part; section
178,才干,cáigàn,Talent
179,财富,cáifù,wealth
180,财务,cáiwù,financial affairs
181,财政,cáizhèng,finance
182,裁缝,cáifeng,Tailor
183,裁判,cáipàn,Referee
184,裁员,cáiyuán,Layoffs
185,采购,cǎigòu,Purchase
186,采集,cǎijí,gather; collect
187,采纳,cǎinà,accept
188,彩票,cǎipiào,lottery
189,参谋,cānmóu,Staff officer
190,参照,cānzhào,refer to
191,残疾,cánjí,A disability
192,残酷,cánkù,cruel
193,残留,cánliú,Residual
194,残忍,cánrěn,brutal
195,灿烂,cànlàn,splendid
196,舱,cāng,cabin
197,苍白,cāngbái,pale
198,仓促,cāngcù,Hasty
199,仓库,cāngkù,Warehouse
200,操劳,cāoláo,work hard
201,操练,cāoliàn,drill; practice
202,操纵,cāozòng,control
203,操作,cāozuò,operation
204,嘈杂,cáozá,noisy
205,草案,cǎo’àn,draft
206,草率,cǎoshuài,cursory; jerry
207,策划,cèhuà,plan; hatch; plot
208,策略,cèlüè,tactic; policy
209,测量,cèliáng,measure
210,侧面,cèmiàn,side; flank
211,层出不穷,céngchūbùqióng,emerge in endlessly
212,层次,céngcì,gradation; arrangement
213,插座,chāzuò,socket
214,差别,chābié,difference
215,查获,cháhuò,hunt down and seize; ferret out
216,岔,chà,turn off; fork
217,刹那,chànà,Instant
218,诧异,chàyì,astonished
219,柴油,cháiyóu,diesel oil
220,搀,chān,mix; mingle
221,馋,chán,Greedy
222,缠绕,chánrào,twine
223,产业,chǎnyè,industry
224,阐述,chǎnshù,expatiate; expound
225,颤抖,chàndǒu,Tremble
226,昌盛,chāngshèng,Prosperity
227,尝试,chángshì,attempt
228,偿还,chánghuán,repay
229,场合,chǎnghé,occasion
230,场面,chǎngmiàn,scene
231,场所,chǎngsuǒ,place
232,敞开,chǎngkāi,Open wide
233,倡导,chàngdǎo,Advocate
234,倡议,chàngyì,Initiative
235,畅通,chàngtōng,unimpeded; unblocked
236,畅销,chàngxiāo,sell well
237,超越,chāoyuè,Transcend
238,钞票,chāopiào,Bank note
239,朝代,cháodài,Dynasty
240,潮流,cháoliú,Trend
241,嘲笑,cháoxiào,Ridicule
242,巢穴,cháoxué,nest
243,撤退,chètuì,haul off
244,撤销,chèxiāo,repeal; retract
245,沉淀,chéndiàn,subside
246,沉闷,chénmèn,oppressive; withdrawn
247,沉思,chénsī,Meditation
248,沉重,chénzhòng,heavy
249,沉着,chénzhuó,composed; cool headed
250,陈旧,chénjiù,obsolete
251,陈列,chénliè,display
252,陈述,chénshù,present; state; mention
253,衬托,chèntuō,set off
254,称心如意,chènxīnrúyì,As one wishes
255,称号,chēnghào,Title
256,盛,chéng,fill
257,橙,chéng,orange
