No,Chinese,Pinyin,English
1,唉,āi,alas
2,爱心,àixīn,love
3,安慰,ānwèi,comfort
4,岸,àn,bank
5,熬夜,áoyè,stay up late
6,包含,bāohán,Contain
7,宝贵,bǎoguì,valuable
8,保存,bǎocún,Preservation
9,保留,bǎoliú,Retain
10,报到,bàodào,"register,check in"
11,报告,bàogào,Presentation
12,悲观,bēiguān,Pessimism
13,背景,bèijǐng,background
14,被子,bèizi,quilt
15,本科,běnkē,Undergraduate
16,本领,běnlǐng,ability
17,比例,bǐlì,Proportion
18,必然,bìrán,Inevitable
19,必要,bìyào,necessary
20,鞭炮,biānpào,firecracker
21,辩论,biànlùn,Debate
22,标志,biāozhì,sign
23,表达,biǎodá,Expression
24,表面,biǎomiàn,surface
25,表情,biǎoqíng,Expression
26,表现,biǎoxiàn,performance
27,冰激凌,bīngjīlíng,ice cream
28,玻璃,bōli,Glass
29,博物馆,bówùguǎn,Museum
30,不断,búduàn,Constantly
31,不见得,bújiàndé,Not necessarily
32,不耐烦,búnàifán,Impatient
33,补充,bǔchōng,supplement
34,不然,bùrán,otherwise
35,不足,bùzú,insufficient
36,部门,bùmén,department
37,财产,cáichǎn,property
38,踩,cǎi,step on
39,采取,cǎiqǔ,"take, adopt"
40,参考,cānkǎo,Reference resources
41,操场,cāochǎng,Playground
42,插,chā,insert
43,叉子,chāzi,Fork
44,拆,chāi,Remove
45,产生,chǎnshēng,produce
46,常识,chángshí,common sense
47,潮湿,cháoshī,damp
48,吵,chǎo,Noisy
49,车库,chēkù,Garage
50,彻底,chèdǐ,thorough
51,趁,chèn,while
52,称,chēng,call
53,称赞,chēngzàn,Praise
54,承担,chéngdān,bear
55,承受,chéngshòu,bear
56,程序,chéngxù,program
57,成立,chénglì,establish
58,成人,chéngrén,adult
59,成语,chéngyǔ,idiom
60,诚恳,chéngkěn,sincere
61,持续,chíxù,Continued
62,尺子,chǐzi,Ruler
63,冲,chōng,punching
64,充分,chōngfèn,To the full
65,重复,chóngfù,repeat
66,宠物,chǒngwù,Pet
67,抽象,chōuxiàng,abstract
68,丑,chǒu,ugly
69,出口,chūkǒu,Exit
70,出示,chūshì,show
71,出席,chūxí,Attend
72,除非,chúfēi,Unless
73,除夕,chúxī,the New Year’s Eve
74,处理,chǔlǐ,Handle
